2011-09-20 20:36:21 directory stylesheets/
2011-09-20 20:36:22    create stylesheets/style.css
2011-09-20 20:38:51 identical stylesheets/style.css
2011-09-20 20:39:10 overwrite style.css
2011-09-21 10:48:54 identical style.css
2011-09-21 11:01:21 overwrite style.css
2011-09-21 11:05:42 overwrite style.css
2011-09-21 11:06:00 identical style.css
2011-09-21 11:06:39 overwrite style.css
2011-09-21 11:07:00 overwrite style.css
2011-09-21 11:12:15 identical style.css
2011-09-21 11:32:24 overwrite style.css
2011-09-21 11:42:02 overwrite style.css
2011-09-21 11:42:53 overwrite style.css
2011-09-21 11:43:23 overwrite style.css
2011-09-21 11:44:02 identical style.css
2011-09-21 11:44:15 overwrite style.css
2011-09-21 11:44:39 overwrite style.css
2011-09-21 11:46:47 overwrite style.css
2011-09-21 11:47:09 overwrite style.css
2011-09-21 11:47:15 identical style.css
2011-09-21 11:47:35 overwrite style.css
2011-09-21 11:49:50 overwrite style.css
2011-09-21 11:50:08 overwrite style.css
2011-09-21 11:50:16 overwrite style.css
2011-09-21 11:51:13 overwrite style.css
2011-09-21 11:51:17 overwrite style.css
2011-09-21 12:14:19 overwrite style.css
2011-09-21 12:32:52 overwrite style.css
2011-09-21 12:33:15 overwrite style.css
2011-09-21 12:33:28 overwrite style.css
2011-09-21 12:34:27     error src/style.sass (Line 41: Undefined mixin 'shadow'.)
2011-09-21 12:34:27 overwrite style.css
2011-09-21 12:34:33     error src/style.sass (Line 41: Undefined mixin 'shadows'.)
2011-09-21 12:34:33 overwrite style.css
2011-09-21 12:34:57 overwrite style.css
2011-09-21 12:35:12 overwrite style.css
2011-09-21 12:35:28 overwrite style.css
2011-09-21 12:37:36 overwrite style.css
2011-09-21 13:12:01     error src/style.sass (Line 31: Invalid property: "padding:" (no value).)
2011-09-21 13:12:01 overwrite style.css
2011-09-21 13:12:13 overwrite style.css
2011-09-21 13:12:16 overwrite style.css
2011-09-21 13:12:30 overwrite style.css
2011-09-21 13:13:01 overwrite style.css
2011-09-21 13:13:11 overwrite style.css
2011-09-21 13:13:40 overwrite style.css
2011-09-21 13:13:49 overwrite style.css
2011-09-21 13:14:02 overwrite style.css
2011-09-21 13:32:07 overwrite style.css
2011-09-21 14:27:20 overwrite style.css
2011-09-21 14:27:33 overwrite style.css
2011-09-21 14:27:54 overwrite style.css
2011-09-21 14:28:05 overwrite style.css
2011-09-21 14:28:36 overwrite style.css
2011-09-21 14:28:49 overwrite style.css
2011-09-21 14:29:04 overwrite style.css
2011-09-21 14:31:01     error src/style.sass (Line 52: Invalid property: "font-size:" (no value).)
2011-09-21 14:31:01 overwrite style.css
2011-09-21 14:31:05 overwrite style.css
2011-09-21 14:32:20 overwrite style.css
2011-09-21 14:32:34 overwrite style.css
2011-09-21 14:32:46 overwrite style.css
2011-09-21 14:32:52 overwrite style.css
2011-09-21 14:33:04 overwrite style.css
2011-09-21 14:33:08 overwrite style.css
2011-09-21 14:33:40 overwrite style.css
2011-09-21 14:35:17 overwrite style.css
2011-09-21 14:35:28 overwrite style.css
2011-09-21 14:36:38 overwrite style.css
2011-09-21 14:37:17 overwrite style.css
2011-09-21 14:37:41 overwrite style.css
2011-09-21 14:38:13 overwrite style.css
2011-09-21 14:40:26 overwrite style.css
2011-09-21 14:40:47 overwrite style.css
2011-09-21 14:41:41 overwrite style.css
2011-09-21 14:42:04 identical style.css
2011-09-21 14:43:02 overwrite style.css
2011-09-21 14:43:40 overwrite style.css
2011-09-21 14:44:01 overwrite style.css
2011-09-21 14:44:12 overwrite style.css
2011-09-21 14:44:35 overwrite style.css
2011-09-21 14:44:47 overwrite style.css
2011-09-21 14:46:46 overwrite style.css
2011-09-21 14:46:55 overwrite style.css
2011-09-21 15:09:04 identical style.css
2011-09-21 15:11:25 overwrite style.css
2011-09-21 15:19:01 overwrite style.css
2011-09-21 15:19:18 identical style.css
2011-09-21 15:19:45 overwrite style.css
2011-09-21 15:20:21 overwrite style.css
2011-09-21 15:20:40 overwrite style.css
2011-09-21 15:21:19 overwrite style.css
2011-09-21 15:21:21 overwrite style.css
2011-09-21 15:21:24 overwrite style.css
2011-09-21 15:22:19 overwrite style.css
2011-09-21 15:22:28 overwrite style.css
2011-09-21 15:22:34 overwrite style.css
2011-09-21 15:22:51 overwrite style.css
2011-09-21 15:25:58 overwrite style.css
2011-09-21 15:26:11 overwrite style.css
2011-09-21 15:26:17 overwrite style.css
2011-09-21 15:28:32 overwrite style.css
2011-09-21 15:28:44 overwrite style.css
2011-09-21 15:28:51 overwrite style.css
2011-09-21 15:29:12 overwrite style.css
2011-09-21 15:36:32 overwrite style.css
2011-09-21 15:37:11 overwrite style.css
2011-09-21 15:37:21 overwrite style.css
2011-09-21 15:38:21 overwrite style.css
2011-09-21 15:38:27 overwrite style.css
2011-09-21 15:38:34 overwrite style.css
2011-09-21 15:38:45 overwrite style.css
2011-09-21 15:39:02 overwrite style.css
2011-09-21 15:39:14 overwrite style.css
2011-09-21 15:39:32 overwrite style.css
2011-09-21 15:39:56 overwrite style.css
2011-09-21 15:43:21 overwrite style.css
2011-09-21 15:43:30 overwrite style.css
2011-09-21 15:56:40 overwrite style.css
2011-09-21 16:20:13 overwrite style.css
2011-09-21 16:20:31 overwrite style.css
2011-09-27 21:53:06 overwrite style.css
2011-09-27 21:54:29 overwrite style.css
2011-09-27 21:57:23 overwrite style.css
2011-09-27 21:57:56 overwrite style.css
2011-09-27 22:08:54 overwrite style.css
2011-09-27 22:09:09 overwrite style.css
2011-09-27 22:09:39 overwrite style.css
2011-09-27 22:09:54 identical style.css
2011-09-27 22:10:20 overwrite style.css
2011-09-27 22:10:32 overwrite style.css
2011-09-27 22:11:21 overwrite style.css
2011-09-27 22:11:54 overwrite style.css
2011-09-27 22:12:11 overwrite style.css
2011-09-27 22:18:15 overwrite style.css
2011-09-27 22:18:38 overwrite style.css
2011-09-27 22:18:59 overwrite style.css
2011-09-27 22:19:21 overwrite style.css
2011-09-27 22:19:57 overwrite style.css
2011-09-27 22:20:54 overwrite style.css
2011-09-27 22:21:45 overwrite style.css
2011-09-27 22:21:53 overwrite style.css
2011-09-27 22:22:08 overwrite style.css
2011-09-27 22:22:20 overwrite style.css
2011-09-27 22:23:08 overwrite style.css
2011-09-27 22:23:17 overwrite style.css
2011-09-27 22:24:06     error src/style.sass (Line 115: Invalid CSS after "(10%) ": expected expression (e.g. 1px, bold), was "!important")
2011-09-27 22:24:06 overwrite style.css
2011-09-27 22:24:11 overwrite style.css
2011-09-27 22:26:05 overwrite style.css
2011-09-27 22:26:54 overwrite style.css
2011-09-27 22:27:11 overwrite style.css
2011-09-27 22:27:50 overwrite style.css
2011-09-27 22:28:13 overwrite style.css
2011-09-27 22:29:47 overwrite style.css
2011-09-27 22:30:37     error src/style.sass (Line 129: Invalid property: "color:" (no value).)
2011-09-27 22:30:37 overwrite style.css
2011-09-27 22:30:56 overwrite style.css
2011-09-27 22:31:16 overwrite style.css
2011-09-27 22:31:49 overwrite style.css
2011-09-27 22:31:59 overwrite style.css
2011-09-27 22:32:04 overwrite style.css
2011-09-27 22:32:10 overwrite style.css
2011-09-27 22:32:34 overwrite style.css
2011-09-27 22:34:26 overwrite style.css
2011-09-27 22:34:43 overwrite style.css
2011-09-27 22:35:04 overwrite style.css
2011-09-27 22:35:29 overwrite style.css
2011-09-27 22:35:53 overwrite style.css
2011-09-27 22:36:16 overwrite style.css
2011-09-27 22:36:29 overwrite style.css
2011-09-27 22:36:47 overwrite style.css
2011-09-27 22:37:07 overwrite style.css
2011-09-27 22:50:02 overwrite style.css
2011-10-06 15:17:41 overwrite style.css 
2011-10-06 15:18:08 overwrite style.css 
2011-10-06 20:49:42 identical style.css 
2011-10-06 20:51:06 overwrite style.css 
2011-10-06 20:51:13 identical style.css 
2011-10-06 20:51:22 overwrite style.css 
2011-10-06 20:52:03 identical style.css 
2011-10-06 20:52:19 identical style.css 
2011-10-06 20:52:41 identical style.css 
2011-10-06 20:53:48 identical style.css 
2011-10-06 20:54:00 overwrite style.css 
2011-10-06 20:54:20 overwrite style.css 
2011-10-06 20:54:28 overwrite style.css 
2011-10-06 20:55:00 overwrite style.css 
2011-10-06 20:55:15 identical style.css 
2011-10-06 20:55:55 overwrite style.css 
2011-10-06 20:55:59 overwrite style.css 
2011-10-06 20:56:11 overwrite style.css 
2011-10-06 20:56:49 overwrite style.css 
2011-10-06 20:57:07 overwrite style.css 
